Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-04-13,Olsenbanden - Siste skrik!,2022,https://boxd.it/471ifl,0.5,Yes,Er denne og Troll i fra samme univers?,,2023-04-12
2023-08-22,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/4JCd6p,5,Yes,Jeg og søs binger HP hver desember så ikke si noe om at jeg så denne nå 🤫,,2023-08-21
2023-12-31,Rebel Moon – Part One: A Child of Fire,2023,https://boxd.it/5roqU1,1.5,,Er dette en Midjourney-prompt?,,2023-12-30
