Date,Name,Year,Letterboxd URI,Rating
2022-08-18,GANTZ:O,2016,https://boxd.it/dRTI,4.5
2022-08-18,Burning 2,2016,https://boxd.it/eJKU,1.5
2022-08-18,The Magnificent Seven,2016,https://boxd.it/aZAy,3
2022-08-18,La La Land,2016,https://boxd.it/a5fa,3.5
2022-08-18,The Night Manager,2016,https://boxd.it/dsfS,4.5
2022-08-18,The Fear of 13,2015,https://boxd.it/cIGI,4.5
2022-08-18,Circle,2015,https://boxd.it/b5So,4
2022-08-18,Nightcrawler,2014,https://boxd.it/780m,5
2022-08-18,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-08-18,Detective Downs,2013,https://boxd.it/6zgY,4
2022-08-18,Percy Jackson: Sea of Monsters,2013,https://boxd.it/2D8m,1.5
2022-08-18,The Wolverine,2013,https://boxd.it/2CWU,3.5
2022-08-18,Django Unchained,2012,https://boxd.it/2cCk,5
2022-08-18,Les Misérables,2012,https://boxd.it/2TT4,5
2022-08-18,Dunkirk,2017,https://boxd.it/d0Y6,5
2022-08-19,Vegg Vegg Vegg,2022,https://boxd.it/B5dM,4.5
2022-08-19,The Pinchcliffe Grand Prix,1975,https://boxd.it/hJe6,5
2022-08-19,The Thing,1982,https://boxd.it/294O,5
2022-08-19,The Quake,2018,https://boxd.it/eGuk,1.5
2022-08-19,22 July,2018,https://boxd.it/h10E,2
2022-08-19,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3
2022-08-19,Christopher Robin,2018,https://boxd.it/eSj4,3
2022-08-19,The Man Who Killed Hitler and Then the Bigfoot,2018,https://boxd.it/jhd4,1.5
2022-08-19,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,2.5
2022-08-19,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,0.5
2022-08-19,Incredibles 2,2018,https://boxd.it/7IPg,3
2022-08-19,Deadpool 2,2018,https://boxd.it/dlLM,3
2022-08-19,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,2
2022-08-19,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2022-08-19,Batman Ninja,2018,https://boxd.it/hwle,2.5
2022-08-19,Ready Player One,2018,https://boxd.it/aZes,3
2022-08-19,Upgrade,2018,https://boxd.it/i4gW,4
2022-08-19,The Outsider,2018,https://boxd.it/6190,1
2022-08-19,Dead Man,1995,https://boxd.it/29h4,4.5
2022-08-19,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2022-08-19,I Saw the Devil,2010,https://boxd.it/FaK,4.5
2022-08-19,NOKAS,2010,https://boxd.it/J8e,2.5
2022-08-19,In Time,2011,https://boxd.it/FPS,3.5
2022-08-19,American Reunion,2012,https://boxd.it/2qH4,2
2022-08-19,Tony Hawk: Until the Wheels Fall Off,2022,https://boxd.it/xg52,4
2022-08-19,The Tinder Swindler,2022,https://boxd.it/yMLw,2
2022-08-19,The Trip,2021,https://boxd.it/sAfm,2
2022-08-19,WandaVision,2021,https://boxd.it/sbGW,3
2022-08-19,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,3.5
2022-08-19,His House,2020,https://boxd.it/l8Qq,2
2022-08-19,Aquaman,2018,https://boxd.it/9ru0,2.5
2022-08-19,Congo,2018,https://boxd.it/hiCK,3
2022-08-19,The Orderud Riddle,2018,https://boxd.it/ySMA,3
2022-08-19,Bad Times at the El Royale,2018,https://boxd.it/fSA2,3.5
2022-08-19,Venom,2018,https://boxd.it/b8wA,3
2022-08-19,The Haunting of Hill House,2018,https://boxd.it/kfJ0,4
2022-08-19,Black Panther,2018,https://boxd.it/8MHs,4
2022-08-19,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
