Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-17,Good Time,2017,https://boxd.it/3em95D,4,,,2022-09-16
2022-09-18,Portrait of a Lady on Fire,2019,https://boxd.it/3exWbx,5,,,2022-09-17
2022-09-20,Sick of Myself,2022,https://boxd.it/3f26DB,4,,vegaoslo,2022-09-19
2022-09-22,Basic Instinct,1992,https://boxd.it/3fntYp,5,,,2022-09-20
2022-09-25,Uncharted,2022,https://boxd.it/3fWyuJ,1.5,,,2022-09-24
2022-09-25,Taxi Driver,1976,https://boxd.it/3fZf2n,5,,,2022-09-24
2022-09-26,The Return of the Living Dead,1985,https://boxd.it/3g6csB,4,,,2022-09-25
2022-09-26,Mars Attacks!,1996,https://boxd.it/3gaYnn,3,,,2022-09-25
2022-10-01,Blade,1998,https://boxd.it/3hflPr,3.5,,,2022-09-30
2022-10-02,The Kingdom,1994,https://boxd.it/3hmfS9,4,,,2022-10-01
2022-10-06,L.A. Confidential,1997,https://boxd.it/3ifdJp,4,,,2022-10-05
2022-10-09,Deadpool,2016,https://boxd.it/3iQSkp,4,Yes,,2022-10-08
2022-10-14,Werewolf by Night,2022,https://boxd.it/3jX4JH,3,,,2022-10-13
2022-10-20,Point Break,1991,https://boxd.it/3lfZvx,4,,,2022-10-19
2022-10-21,Dogville,2003,https://boxd.it/3lqRZV,5,,dvd,2022-10-20
2022-10-26,A Trip to the Moon,1902,https://boxd.it/3mt2U1,,,,2022-10-25
2022-11-03,The House That Jack Built,2018,https://boxd.it/3ogojt,4.5,,,2022-11-02
