Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-05-24,Mulholland Drive,2001,https://boxd.it/4hCZQj,,,"Maskinisten rota med rullbyttet, og lyden falt ut sånn seks ganger 🙃 Flaks at det var en Lynch, det kunne jo nesten like godt vært meningen!

Uansett, jeg trenger tid til å la denne surre og spinne i bakhodet. ","cinemateketoslo, 35mm",2023-05-23
2023-07-18,Pulp Fiction,1994,https://boxd.it/4x7M8F,5,Yes,Pulp er tidenes kuleste film for alltid. Tenk å se denne om sånn 1000 år.,,2023-07-17
2023-08-02,The Killing of a Sacred Deer,2017,https://boxd.it/4CXFvV,4,,Historien om hvordan faren hans spiste spagetti. 🍝,,2023-08-01
2023-08-07,Dreams,1990,https://boxd.it/4EEgcp,,,Skal begynne å følge litt mer med på hva jeg drømmer 🌈,,2023-08-06
2023-08-11,Oppenheimer,2023,https://boxd.it/4G1aPZ,4,,"Hvordan kan vi ha en slik evne til skjønnhet, kjærlighet og medfølelse, men likevel være så kortsiktige og egoistiske? Vil vi noen gang bli opplyst nok til å stoppe skade hverandre? Selv om denne refleksjonen sitter dypt, er det tematikken og ikke nødvendigvis filmens utførelse som gir grunn til ettertanke. 

Christopher Nolan er en mester i sitt håndverk, og imax70mm er så nerdete at vi vurdert å dra til London for å se den i sitt tiltenkt format. Det er så stort det: stable tre standard 70mm-5perf bildeframes og projiser det horisontalt så har du imax70-15 perforeringer. Det tilsvarer 18k digitalt. 

I stedet ender jeg opp med å se den to ganger! Vi valgte IMAX over 70mm i første visning fordi dialogen visstnok er vanskelig å høre uten tekst. Personlig fant jeg teksten mest forstyrrende.

Før jeg drar på Cinemateket skal jeg se <a href=""https://boxd.it/ilq"" title=""The Day After Trinity"">The Day After Trinity</a> for å fylle inn enda litt kontekst.","imax, odeonoslo",2023-08-10
2023-08-14,Heart of Stone,2023,https://boxd.it/4GZ17T,1,,Det er det dummeste jeg har sett,,2023-08-13
2023-08-15,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4HiUPJ,4.5,,"Å smelte sammen så mange animasjonsstiler er i seg selv en kunst. Når hver dimensjon får skinne med sin distinkte stil er det ingen overraskelse at resultatet er spektakulært. Kunne sett denne i 0.50% speed. 

Likte akt 1 og hverdagen med Miles, mens akt 2 var skuffende. Det ""Rick and Morty""-aktige Spider-Man-universet er gøy, men det er små detaljer som halter litt. Motivasjonen til Spider 2099 er klar, og de andre ""spiderne"" virker mest å være der for å forsterke hans karakter og dedikasjon til å holde det spider-verse greiene i sjakk.

Den første filmen føler jeg handlet mest om identitet og akseptere seg selv, mens denne dykker mer ned i ensomhet og akseptere det rundt seg. Miles' karakter skiller seg spesielt fra andre spider-menn fordi han strever med å leve opp til Spider-Man som kom før ham. Det faller litt bort i spider-verset og er synd ikke er gitt mer plass til å utforske det. Når det viser seg at dette bare er del 1 (noe jeg ikke var klar over), så kollapset filmen mot slutten ved å ikke fullføre noe av historien. Jeg trodde det var 1 time igjen. 

Men akkurat som med den første filmen er det så mange spennende ideer og scener her som gjør at jeg vil se denne filmen igjen og igjen likevel. Min store guilty pleasure her i livet er å se scenen i den første filmen der Miles hopper av bygningen sånn ""What's Up Danger"" [insert Miles Morales jumping off building gif]. 

Tenk at det er Sony som tar animasjon til neste nivå. 
Hva er det Disney og Pixar driver med egentlig..",,2023-08-14
2023-08-21,Avatar: The Way of Water,2022,https://boxd.it/4JbaMX,4,,"Dyra frå hjorteparken med 2 milliarder i budsjett. 

Synes Avatar 1 var skikkelig teit men det her funka. Den lykkes i å fange familiebånd på en måte jeg ikke har sett før. Var livredd for de ungene i 3 timer. også er jeg svak for hvaler 🐳  savna noen skilpadder bare 🐢",,2023-08-20
2023-08-24,Dune,1984,https://boxd.it/4K7xVz,,,"I et dristig tankeeksperiment inviterer jeg til et alternativt filmunivers hvor hver eneste film eksisterer i en Lynchian variant.

Bring meg snehvit og de syv dvergene i lynch.",,2023-08-23
2023-09-01,"Oslo, August 31st",2011,https://boxd.it/4MuYy7,5,Yes,"Steike 🍳hadde glemt hvor god Danielsen er her. 

Hvem må jeg stemme på i år for å gi mer penger til norsk film! (Ikke troll 2)",,2023-08-31
